rank,city,state,pop_2014
1,New York,New York,8491079
2,Los Angeles,California,3928864
3,Chicago,Illinois,2722389
4,Houston,Texas,2239558
5,Philadelphia,Pennsylvania,1560297
6,Phoenix,Arizona,1537058
7,San Antonio,Texas,1436697
8,San Diego,California,1381069
9,Dallas,Texas,1281047
10,San Jose,California,1015785
11,Austin,Texas,912791
12,Jacksonville,Florida,853382
13,San Francisco,California,852469
14,Indianapolis,Indiana,848788
15,Columbus,Ohio,835957
16,Fort Worth,Texas,812238
17,Charlotte,North Carolina,809958
18,Detroit,Michigan,680250
19,El Paso,Texas,679036
20,Seattle,Washington,668342
21,Denver,Colorado,663862
22,Washington,District of Columbia,658893
23,Memphis,Tennessee,656861
24,Boston,Massachusetts,655884
25,Nashville,Tennessee,644014
26,Baltimore,Maryland,622793
27,Oklahoma City,Oklahoma,620602
28,Portland,Oregon,619360
29,Las Vegas,Nevada,613599
30,Louisville,Kentucky,612780
31,Milwaukee,Wisconsin,599642
32,Albuquerque,New Mexico,557169
33,Tucson,Arizona,527972
34,Fresno,California,515986
35,Sacramento,California,485199
36,Long Beach,California,473577
37,Kansas City,Missouri,470800
38,Mesa,Arizona,464704
39,Atlanta,Georgia,456002
40,Virginia Beach,Virginia,450980
41,Omaha,Nebraska,446599
42,Colorado Springs,Colorado,445830
43,Raleigh,North Carolina,439896
44,Miami,Florida,430332
45,Oakland,California,413775
46,Minneapolis,Minnesota,407207
47,Tulsa,Oklahoma,399682
48,Cleveland,Ohio,389521
49,Wichita,Kansas,388413
50,New Orleans,Louisiana,384320
51,Arlington,Texas,383204
52,Bakersfield,California,368759
53,Tampa,Florida,358699
54,Aurora,Colorado,353108
55,Honolulu,Hawai'i,350399
56,Anaheim,California,346997
57,Santa Ana,California,334909
58,Corpus Christi,Texas,320434
59,Riverside,California,319504
60,St. Louis,Missouri,317419
61,Lexington,Kentucky,310797
62,Pittsburgh,Pennsylvania,305412
63,Stockton,California,302389
64,Anchorage,Alaska,301010
65,Cincinnati,Ohio,298165
66,Saint Paul,Minnesota,297640
67,Greensboro,North Carolina,282586
68,Toledo,Ohio,281031
69,Newark,New Jersey,280579
70,Plano,Texas,278480
71,Henderson,Nevada,277440
